,R_Cost
211,48720.68666877137
212,5375.068951366683
213,410311.63942273334
214,237350.08558348782
215,53102.48195375031
216,2769.598103785545
217,145230.0
218,4082.0980112602024
219,3637.798324632322
220,0.0
221,43978.56592756387
222,89326.08341515137
223,157292.6155822268
224,3171.0290035134963
225,3220.208317219232
226,3483.300419248247
227,773611.4334532341
228,0.0
229,1443.953011930869
230,11107.420126139385
231,370370.0
232,36059.65525459636
233,36178.86569025614
234,9933.536023212046
235,154553.66880592622
236,80686.73888435312
237,1698.9921149303846
238,11942.543207490284
239,19022.63740543556
240,8546.17671469368
241,8145.200286316737
242,10524.676237709737
243,11325.978971613713
244,2987.3534592144083
245,3273.434228032526
246,1541.8942129179786
247,250810.0
248,97646.49351827013
249,19561.61466392802
250,0.0
251,2616.1149817159912
252,57427.647189429474
253,131240.0
254,2550.404567673928
255,2482.1915149415513
256,396687.7669567798
257,5041.068306994309
258,3235.5855852550035
259,203065.7881471242
260,12244.61101110494
261,3312.964074633889
262,2923.4231103314874
263,18998.68049757462
264,0.0
265,15953.633705919816
266,0.0
267,0.0
268,0.0
269,3665.5583893833114
270,0.0
271,0.0
272,0.0
273,3637.4863699809443
274,182916.91834510217
275,0.0
276,0.0
277,0.0
278,172453.92942019584
279,14790.081662678096
280,0.0
281,3849.025059294629
282,18731.930093060077
283,0.0
284,85419.97560252134
285,142230.0
286,141014.6893361558
287,0.0
288,13534.487944966977
289,165190.0
290,13934.04057756036
291,0.0
292,288890.0
293,29233.44237412611
294,31487.38253916467
295,2956.6849087350897
296,9814.915042663471
297,136221.04374235825
298,86850.0
299,84422.65349613216
300,0.0
301,918.5030735771664
302,3186.615366078628
303,0.0
304,14750.272755844408
305,137787.36782377798
306,68353.78749515438
307,9893.344806240942
308,105365.53794553984
309,1070.072343642672
310,1009.1005185531494
311,182250.0
312,1542.1972312801145
313,1633.9391476874528
314,0.0
315,143131.53896483802
316,13965.663075336059
317,5353.2124786967115
318,2445.211036735339
319,0.0
320,0.0
321,18152.90548350836
322,2908.193953515107
323,883599.1278161634
324,74335.47436946083
325,3525.1705222267774
326,144440.0
327,341160.55980159825
328,0.0
329,0.0
330,232060.0
331,4346.155119948642
332,24265.220552615945
333,2501.541391520699
334,11692.588352110888
335,256758.62201610403
336,0.0
337,4214.251804899285
