,OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2,mph,idd,DS1,DS2,DS3,DS4,dmg
18,31719,77.63380879,34.71441038,2016,Concrete Block,18263,108110,Building Site,1955,1,Single Family,Concrete Block,Building New,A14,58.58362659,156202.9558,129.35726984400935,18263,0.7557023462231712,0.2807799885095107,0.05996512334855864,0.03171030153946986,0
19,47126,77.41733643,34.79463396,2016,"Frame Siding, Plywood",43058,111320,Residential,1984,1,Single Family,"Frame Siding, Plywood",Building New,A14,171.4717395,12170.97817,130.9450090604753,43058,0.7841792669173586,0.3160174254250898,0.07434652484512781,0.040463886670674624,1
20,22191,77.49129702,34.54064858,2016,ALUMINUM/VINYL,55790,76630,Building Site,1995,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,407.7332389,31538.39411,146.93355678134682,55790,0.6369716471505351,0.2584791129620637,0.059103840937013916,0.04705866492983165,1
21,30911,77.54621556,34.70808584,2016,ALUMINUM/VINYL,60710,99650,Building Site,2001,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,160.8702671,44609.77096,132.75093069538656,60710,0.353954518575728,0.05811205928052319,0.004977345927064212,0.0035819717493754586,0
22,51467,77.5127954,34.81926902,2016,Aluminum/Vinyl,66944,144090,Residential,2007,1,Single Family,Aluminum/Vinyl,Building New,A58,1967.841559,27753.03857,126.00897838751662,66944,0.7769425015230684,0.2921406047055465,0.10476743412490097,0.10268442610067946,0
23,91648,77.12088872,34.68885703,2006,Aluminum/Vinyl,14441,270890,Residential,1998,2,Single Family,Aluminum/Vinyl,Building Existing,A26,1819.946748,5199.85216,148.1374354125698,14441,0.9953851755085049,0.9705142764393344,0.8934068541821376,0.8104308939436942,4
24,93858,77.22269553,34.70189642,2006,Aluminum/Vinyl,38931,115800,Building Site,1997,1,Single Family,Aluminum/Vinyl,Building Existing,A58,1901.463023,21351.38561,144.11915048859927,38931,0.9573838746324589,0.7163113348365957,0.48641766101238076,0.4414307616133258,1
25,58496,77.6431942,34.88502919,2016,ALUMINUM/VINYL,46765,87920,Building Site,2001,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,265.879448,46692.41713,117.19218167811432,46765,0.1029193851252832,0.003424589639625554,6.565349531932041e-05,4.147368701109158e-05,0
26,130651,77.391366,34.78883671,2006,Aluminum/Vinyl,64105,154820,Residential,2004,1,Single Family,Aluminum/Vinyl,Building Existing,A58,2565.951496,7681.267055,132.17741337770997,64105,0.8650468956642784,0.4408256893396041,0.2060015686349519,0.19265963339632786,2
27,73189,77.54517452,34.89803876,2016,Asbestos Shingle,23225,97250,Residential,1945,1,Single Family,Asbestos Shingle,Building Modified,A10,1070.624841,14587.81375,119.60968288499267,23225,0.644347105026248,0.2183652287987738,0.03456819561020829,0.04423063588223944,1
