x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.13845619,34.68788316,0,42388,27841,91212,Building Existing,185.8312473,1729.676857,2006,16876,1,2,2021,31190,2,Residential,1983,NONE,1,1249,Multi-Section MH,"FRAME SIDING, PLYWOOD",B3,B3,Multi-Section MH
77.1200708,34.68760014,0,42390,27842,91214,Building Existing,177.0750027,1789.648704,2006,"3313.0, 12329.0, 15231.0",3,3,2021,210290,2,Residential,1960,NONE,2,4879,Single Family,Cedar/Redwood/Cypress, A26,A26,Single Family
77.11913824,34.68760549,0,42391,27843,91218,Building Existing,165.6813714,1543.46072,2006,54749,1,1,2021,81580,2,Residential,1915,NONE,2,1816,Single Family,Aluminum/Vinyl,A18,A18,Single Family
77.2349883,34.68936125,0,42392,27844,91220,Building Existing,207.2365953,2353.796633,2006,58716,1,1,2021,121910,1,Residential,1999,NONE,1,1676,Single Family,Aluminum/Vinyl, A66,A66,Single Family
77.20204747,34.68888795,0,42393,27845,91222,Building Existing,157.2050173,1360.575341,2006,16923,1,1,2021,66280,1,Residential,1973,NONE,1,1300,Single Family,Aluminum/Vinyl, A78,A78,Single Family
77.546735,34.69357253,0,42395,27846,91224,Building Existing,218.4764644,2279.756283,2006,19806,1,1,2021,94190,19,Building Site,1970,NONE,1,1432,Single Family,Brick Veneer, A110,A110,Single Family
77.11963307,34.68762843,0,42396,27847,91226,Building Existing,190.9636584,2070.453559,2006,24971,1,1,2021,44800,2,Residential,1901,NONE,1,1396,Single Family,Aluminum/Vinyl, A94,A94,Single Family
77.19568351,34.68877197,0,42397,27848,91227,Building Existing,189.0392772,1213.880381,2006,58848,1,1,2021,20020,19,Building Site,2000,NONE,1,1064,Singlewide M/H,"ALUMINUM,VINYL",B3,B3,Singlewide M/H
77.20679485,34.68897875,0,42398,27849,91228,Building Existing,162.9660703,1543.782345,2006,31062,1,1,2021,45040,1,Residential,1970,NONE,1,1000,Single Family,Aluminum/Vinyl, A74,A74,Single Family
77.5016909,34.69299769,0,42399,27850,91229,Building Existing,198.301902,2071.424272,2006,56940,1,1,2021,103290,1,Residential,1998,NONE,1,1372,Single Family,Aluminum/Vinyl, A110,A110,Single Family
77.19403039,34.68879367,0,42400,27851,91230,Building Existing,144.9924701,1165.708387,2006,38572,1,2,2021,22740,19,Building Site,1989,NONE,1,1152,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.12642057,34.68775566,0,42401,27852,91231,Building Existing,163.3944662,1532.132127,2006,6388,1,1,2021,68420,1,Residential,1953,NONE,1,1098,Single Family,Brick Veneer, A78,A78,Single Family
