OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2
67461,77.48506389,34.73803021,2016,Brick Frame,24710,120890,Residential,1965,1,Single Family,Brick Frame,Building Modified,A14,177.7655852,20796.39527
53739,77.49237058,34.83101703,2016,Aluminum/Vinyl,67495,178350,Building Site,2007,2,Single Family,Aluminum/Vinyl,Building New,A30,1690.267208,150533.7086
45479,77.31205358,34.78286973,2016,Aluminum/Vinyl,74617,180960,Residential,2009,1,Single Family,Aluminum/Vinyl,Building New,A62,2575.362003,17395.71983
57413,77.49740326,34.86117689,2016,Aluminum/Vinyl,50136,269060,Golf Course Lot,2000,2,Single Family,Aluminum/Vinyl,Building New,A30,187.5408374,25492.30248
21018,77.50240815,34.52635473,2016,Aluminum/Vinyl,153579,245740,Residential,2011,2,Single Family,Aluminum/Vinyl,Building New,A26,2702.954179,30634.97567
21325,77.39905678,34.52738021,2016,Aluminum/Vinyl,155873,185200,Residential,2013,2,Single Family,Aluminum/Vinyl,Building New,A26,1639.852345,18531.49362
114145,77.40609502,34.7582737,2006,Aluminum/Vinyl,22902,71400,Residential,1953,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1108.814816,10346.77684
133662,77.37841639,34.80055688,2006,Brick Veneer,45073,84700,Building Site,1948,1,Single Family,Brick Veneer,Building Existing,A14,2765.658471,36736.08615
25556,77.19429882,34.666847,2016,Aluminum/Vinyl,67878,158460,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A30,1690.271877,12042.80174
40592,77.352048,34.7585374,2016,Aluminum/Vinyl,68366,159010,Residential,2006,1,Single Family,Aluminum/Vinyl,Building New,A62,2313.652406,13233.55422
23641,77.43733211,34.56268401,2016,Aluminum/Vinyl,156601,186330,Residential,2012,1,Single Family,Aluminum/Vinyl,Building New,A58,2550.321437,16003.12226
75915,77.5598621,34.4746192,2006,Aluminum/Vinyl,67167,141020,Residential,2006,1,Single Family,Aluminum/Vinyl,Building Existing,A62,1687.31168,6652.176814
137395,77.45046597,34.81638258,2006,Brick Veneer,11802,130150,Residential,1966,1,Single Family,Brick Veneer,Building Existing,A14,2408.593225,17411.79826
67554,77.13824092,34.73487176,2016,Aluminum/Vinyl,38692,188240,Residential,1998,2,Single Family,Aluminum/Vinyl,Building Modified,A26,1902.50813,39832.22928
26447,77.18242056,34.67812327,2016,Aluminum/Vinyl,39717,143350,Residential,1993,1,Single Family,Aluminum/Vinyl,Building New,A62,91.11972012,20360.51225
20396,77.41923478,34.51947679,2016,Hard Board (Hardy board or pla,66510,344210,Waterfront Canal,2012,1,Single Family,Hard Board (Hardy board or pla,Building New,A62,3513.038066,76038.00825
109969,77.44958881,34.75144291,2006,,7183,612331,Commercial,0,1,RETAIL,,Building Existing,F16,8818.603968,45249.09134
40612,77.23088064,34.75697724,2016,Aluminum/Vinyl,42397,174380,Building Site,1988,2,Single Family,Aluminum/Vinyl,Building New,A26,22.52598848,97247.69805
59934,77.53341999,34.90236607,2016,Aluminum/Vinyl,75793,170780,Residential,2010,2,Single Family,Aluminum/Vinyl,Building New,A26,202.2345215,18594.0467
68955,77.49272663,34.76536263,2016,Brick Veneer,1106,123370,Residential,1977,1,Single Family,Brick Veneer,Building Modified,A14,2153.155853,13249.46514
51897,77.55793165,34.82238955,2016,Aluminum/Vinyl,64562,177140,Residential,2005,1,Single Family,Aluminum/Vinyl,Building New,A58,259.9708325,15689.86458
127215,77.36052109,34.78071651,2006,Aluminum/Vinyl,15014,114520,Residential,1972,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1855.740995,12758.51651
110051,77.36313447,34.75052675,2006,Aluminum/Vinyl,42136,117060,Residential,1984,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1737.543624,9193.108431
61801,77.54052107,34.9273054,2016,Aluminum/Vinyl,68573,157730,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A30,1550.926382,21299.94666
49054,77.40739921,34.80690412,2016,Aluminum/Vinyl,69838,55410,Townhome,2007,2,Town Home,Aluminum/Vinyl,Building New,B32,3568.061849,2635.567958
39829,77.34569202,34.75526144,2016,Aluminum/Vinyl,152692,173970,Residential,2015,2,Single Family,Aluminum/Vinyl,Building New,A22,1435.578168,15039.12502
146131,77.55727266,34.90143406,2006,Aluminum/Vinyl,13540,73270,Building Site,1933,1,Single Family,Aluminum/Vinyl,Building Existing,A10,195.873681,19523.3193
39770,77.53731442,34.7574802,2016,Aluminum/Vinyl,18742,64340,Building Site,1925,1,Single Family,Aluminum/Vinyl,Building New,A10,442.0395126,41500.12766
62814,77.62202184,34.94720806,2016,Aluminum/Vinyl,27919,159890,Building Site,2006,1,Single Family,Aluminum/Vinyl,Building New,A62,3202.341125,43559.94335
49667,77.46234327,34.81059092,2016,"Frame Siding, Plywood",53399,171930,Residential,1995,2,Single Family,"Frame Siding, Plywood",Building New,A30,108.3881228,10885.98563
64988,77.15618586,34.6825313,2016,Aluminum/Vinyl,53690,306430,Waterfront River/Creek,2001,2,Single Family,Aluminum/Vinyl,Building Modified,A30,3855.768042,81099.12604
