id,x,y,idt,taxval,landuse,yearbuilt,storey,Str_old,Structures,type,Area_ft2,o_mph,o_DS1,o_DS2,o_DS3,o_DS4,o_dmg
72974,-77.643,34.885,46765,87920,Building Site,2001,1,Multi-Section MH,Multi-Section MH,B32,2919.877056,117.2,0.103,0.003,0,0,0
130651,-77.391,34.789,64105,154820,Residential,2004,1,Single Family,Single Family,A58,2565.951496,132.18,0.865,0.441,0.206,0.193,2
73189,-77.545,34.898,23225,97250,Residential,1945,1,Single Family,Single Family,A10,1070.624841,119.61,0.644,0.218,0.035,0.044,1
145770,-77.545,34.898,23225,97250,Residential,1945,1,Single Family,Single Family,A10,1155.985794,119.6,0.644,0.218,0.035,0.044,1
128601,-77.389,34.784,49089,104930,Residential,1990,1,Single Family,Single Family,A10,1852.507627,132.65,0.866,0.534,0.217,0.2,1
46996,-77.558,34.795,74828,139990,Residential,2009,1,Single Family,Single Family,A58,2104.132317,125.97,0.776,0.291,0.104,0.102,0
101892,-77.515,34.735,1140,81250,Building Site,1956,1,Single Family,Single Family,A10,1967.358279,131.75,0.856,0.511,0.198,0.185,1
26530,-77.603,34.685,6087,366230,Building Site,2010,1,Single Family,Single Family,A58,812.0040644,132.6,0.87,0.451,0.214,0.2,0
26533,-77.603,34.685,6087,366230,Building Site,2010,1,Single Family,Single Family,A58,5300.607723,132.59,0.87,0.451,0.214,0.2,2
88706,-77.603,34.684,6087,366230,Building Site,2010,1,Single Family,Single Family,A58,2128.498619,132.61,0.87,0.452,0.215,0.2,1
88948,-77.604,34.685,6087,366230,Building Site,2010,1,Single Family,Single Family,A58,1495.00996,132.53,0.869,0.45,0.213,0.199,1
134075,-77.453,34.804,13586,86350,Residential,1971,1,Single Family,Single Family,A14,1616.057171,129.14,0.752,0.276,0.058,0.031,1
47318,-77.443,34.796,66645,244180,Residential,2006,2,Single Family,Single Family,A26,2213.832832,129.99,0.953,0.788,0.523,0.417,2
47353,-77.443,34.797,66645,244180,Residential,2006,2,Single Family,Single Family,A26,2904.279593,129.99,0.953,0.788,0.523,0.417,3
52674,-77.409,34.825,153439,151260,Residential,2011,1,Single Family,Single Family,A58,2080.690097,128.93,0.823,0.361,0.148,0.141,1
52702,-77.409,34.825,153439,151260,Residential,2011,1,Single Family,Single Family,A58,1896.11143,128.92,0.823,0.361,0.147,0.141,1
131356,-77.423,34.791,15263,115820,Residential,1978,1,Single Family,Single Family,A10,2381.504573,131.02,0.846,0.493,0.182,0.172,2
41881,-77.434,34.765,24566,94760,Residential,1959,1,Single Family,Single Family,A10,1102.860751,132.6,0.866,0.533,0.216,0.199,0
41904,-77.434,34.765,24566,94760,Residential,1959,1,Single Family,Single Family,A10,743.6023773,132.59,0.866,0.532,0.216,0.199,0
118232,-77.434,34.765,24566,94760,Residential,1959,1,Single Family,Single Family,A10,1520.86061,132.62,0.866,0.533,0.216,0.2,2
86458,-77.225,34.666,45471,151870,Residential,1994,1,Single Family,Single Family,A58,2265.60461,146.51,0.967,0.761,0.546,0.496,4
119172,-77.44,34.766,7493,230850,Residential,1970,2,Single Family,Single Family,A26,3278.967026,132.27,0.964,0.827,0.585,0.474,4
143758,-77.261,34.859,9025,55930,Building Site,1964,1,Single Family,Single Family,A10,1476.86436,131.29,0.85,0.499,0.188,0.177,1
120690,-77.387,34.768,12460,349938,Commercial/Ind/Secondary,0,1,MEDICAL BUILDING,MEDICAL BUILDING,F16,1340.616404,133.87,0.952,0.893,0.768,0,3
110441,-77.419,34.752,28835,142600,Residential,1951,1,Single Family,Single Family,A10,2550.692075,134.05,0.882,0.568,0.249,0.226,1
