,id,x,y,DR
1710,41785,-77.2164987,34.68616532,0.09891578528517118
1711,41786,-77.21684912,34.68618901,0.01963936527872092
1712,41787,-77.13608372,34.68495146,0.0
1713,41789,-77.20712855,34.6860574,0.0
1714,41791,-77.21263337,34.68612892,0.0198070865386415
1715,41793,-77.20566227,34.68604022,0.0
1716,41794,-77.19236608,34.68585488,0.0
1717,41796,-77.51774137,34.69028882,0.506513726823405
1718,41797,-77.19633723,34.68589039,0.0
1719,41798,-77.14859068,34.68520506,0.019822303932541113
1720,41799,-77.23800952,34.68656921,0.49323904866160195
1721,41800,-77.20526455,34.68609212,0.09941950754362508
1722,41801,-77.23886896,34.68658183,0.02003560838314431
1723,41804,-77.21158692,34.68619761,0.10032257457522147
1724,41806,-77.13056498,34.68499613,0.09986697782589846
1725,41808,-77.51060641,34.69033774,0.10075477501193442
1726,41809,-77.14418624,34.68520193,0.01964107729930851
1727,41810,-77.49869485,34.69017722,0.0
1728,41811,-77.51092666,34.69032289,0.0
1729,41812,-77.21548385,34.68632864,0.019782659703016518
1730,41814,-77.51157055,34.69035756,0.0
1731,41815,-77.20493799,34.68618984,0.020327783971464043
1732,41816,-77.21478825,34.6863517,0.09941052929649617
1733,41817,-77.13650769,34.68515235,0.0
1734,41818,-77.21512905,34.68635931,0.0
1735,41819,-77.51038263,34.69038468,0.0
1736,41821,-77.21150531,34.68632964,0.020130901846341094
1737,41822,-77.19571245,34.68606377,0.0
1738,41823,-77.19510915,34.68604909,0.0
1739,41824,-77.21583187,34.68641208,0.0
1740,41825,-77.207154,34.68628164,0.0
1741,41826,-77.49933041,34.69026888,0.09980658489776272
1742,41827,-77.13622281,34.68520117,0.0
1743,41828,-77.51012432,34.69048356,0.0
1744,41829,-77.50984812,34.6904709,0.020404089218958657
1745,41831,-77.19699537,34.6861634,0.01988407569432183
1746,41832,-77.21428024,34.68642123,0.0
1747,41834,-77.19242922,34.68611451,0.0
1748,41836,-77.1439133,34.68535208,0.0
1749,41837,-77.13023732,34.68519805,0.0
1750,41839,-77.21607974,34.68650976,0.020787770201809812
1751,41840,-77.20467154,34.68633743,0.10383544528853861
1752,41842,-77.17546882,34.68589286,0.02002467531915891
1753,41843,-77.51137193,34.69054248,0.019940812065719304
1754,41844,-77.14899873,34.68549288,0.019900707866898175
1755,41847,-77.23855073,34.68685967,0.10087675109531455
1756,41848,-77.1363278,34.68534752,0.0
1757,41849,-77.49593551,34.69039695,0.0
1758,41850,-77.21633319,34.68659014,0.019752559472036108
1759,41851,-77.52118951,34.69076918,0.0
1760,41853,-77.49878779,34.6904394,0.0
1761,41854,-77.21219528,34.6865334,0.0
1762,41855,-77.13724271,34.68542442,0.0
1763,41856,-77.21361427,34.68655706,0.01981663188242202
1764,41857,-77.21695057,34.68664806,0.01987013808068866
1765,41858,-77.2143643,34.68660301,0.01918676691895178
1766,41859,-77.50963841,34.6906287,0.0
1767,41861,-77.13788113,34.6854441,1.0
1768,41862,-77.1436436,34.68552982,0.10057950671796609
1769,41863,-77.17648499,34.68605558,0.0
1770,41864,-77.55329995,34.69116752,0.01989840990550783
1771,41865,-77.2166119,34.68666367,0.09967761859834802
1772,41866,-77.19502777,34.68634703,0.0
1773,41867,-77.20661033,34.6865305,0.09931096902271805
1774,41870,-77.12402892,34.68529226,0.09870677558772134
1775,41871,-77.49941796,34.69055189,0.0
1776,41874,-77.20576973,34.68655447,0.9852960956717609
1777,41876,-77.20714935,34.68660287,0.019558012825509518
1778,41877,-77.19239414,34.6863524,0.01957853181079796
1779,41878,-77.13637653,34.68552688,0.020455422846702216
1780,41879,-77.4848366,34.69044565,0.0
1781,41881,-77.19614581,34.68643292,0.019349088001838977
1782,41883,-77.21753674,34.68676434,0.020323523656291313
1783,41884,-77.20447301,34.68660718,0.020254651488716156
1784,41885,-77.23691922,34.68709441,0.09708483620437723
1785,41886,-77.14339604,34.68566907,0.09802016920555874
1786,41887,-77.21287685,34.68674636,0.0
1787,41888,-77.21221548,34.68673065,0.020156249717982917
1788,41890,-77.12279532,34.68537794,0.020263013382079094
1789,41891,-77.12430911,34.68543746,0.0
1790,41892,-77.12550228,34.68547401,0.09510930857191004
1791,41894,-77.52235887,34.6909974,0.0
1792,41895,-77.51133459,34.69084004,0.020002615511939298
1793,41896,-77.12475452,34.68545868,0.49406066469590704
1794,41897,-77.21367099,34.68679191,0.0
1795,41898,-77.19167089,34.68646949,0.0
1796,41900,-77.12513276,34.68548122,0.019879169814187924
1797,41901,-77.4988687,34.69070179,0.020356123509167358
1798,41902,-77.2387525,34.68719772,0.0
1799,41905,-77.13638661,34.68567167,0.019929858466106593
1800,41906,-77.12497186,34.68548412,0.0204776119061024
1801,41907,-77.51086785,34.6909015,0.01987121888595699
1802,41908,-77.13801753,34.6856968,0.020171553774674608
1803,41910,-77.51027083,34.69092197,0.0
1804,41912,-77.12968567,34.68560169,0.09916688665436378
1805,41913,-77.49957609,34.69078216,0.0
1806,41914,-77.20419087,34.68674355,0.09884934374967769
1807,41915,-77.51056029,34.69093577,0.0
1808,41918,-77.50246297,34.69086201,0.0
1809,41919,-77.14311119,34.68582815,0.0
1810,41922,-77.21758723,34.6869931,0.0
1811,41925,-77.20717695,34.68685708,0.019400875845574313
1812,41926,-77.19565314,34.68665784,0.0
1813,41928,-77.20564323,34.68683777,0.02007985509517992
1814,41929,-77.21706908,34.68700899,0.020043202691084592
1815,41931,-77.21229492,34.68694797,0.0
1816,41933,-77.21499736,34.68700828,0.02002564043160282
1817,41934,-77.13299652,34.68571729,0.09975142259493436
1818,41935,-77.21287276,34.68697429,0.0
1819,41936,-77.20501886,34.68687641,0.020343245308550733
