,x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES,mph,DS1,DS2,DS3,DS4,dmg_state,kmh,Dislocation
1864,77.51442342,34.69145838,0,42000,27548.0,90680,Building Existing,197.8012938,2034.507195,2006,2366,1,1,2021.0,119540,19.0,Building Site,1979.0,NONE,2,2700,Single Family,Brick Veneer, A46,A46,Single Family,116.09194485675549,0.6570857004375488,0.16714768987476836,0.035858196004123606,0.024720275214455682,1,186.90803121937634,0
1865,77.21246816,34.6873382,0,42001,27549.0,90681,Building Existing,184.7821986,1759.465402,2006,45517,1,1,2021.0,84170,1.0,Residential,1992.0,NONE,1,1533,Single Family,"Frame Siding, Plywood", A66,A66,Single Family,125.10946115815297,0.6664041854330457,0.1036115607628838,0.0010830769838896092,1.220423515891864e-05,1,201.42623246462628,0
1866,77.1231424,34.68599292,0,42002,27550.0,90682,Building Existing,159.3073303,1574.502698,2006,14743,1,1,2021.0,124550,1.0,Residential,2000.0,NONE,1,1690,Single Family,Hard Board (Hardy board or pla, A10,A10,Single Family,127.46727361686466,0.7951930680896278,0.40225650023946474,0.11874796232255463,0.12032663867028587,1,205.22231052315212,0
1867,77.19167214,34.6870205,0,42005,27551.0,90686,Building Existing,214.6249428,2267.88755,2006,60442,1,2,2021.0,59260,19.0,Building Site,1996.0,NONE,1,2052,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.70002050612305,0.18245611986999855,0.01982517401429966,0.0026551063888044834,0.001970120170098071,0,202.3770330148581,0
1868,77.1929395,34.68708991,0,42007,27552.0,90690,Building Existing,205.0371453,1622.816912,2006,38551,1,1,2021.0,18960,19.0,Building Site,1993.0,NONE,1,924,Singlewide M/H,MODULAR METAL,B3,B3,Singlewide M/H,125.66212121173027,0.18188666486406752,0.01970471757057961,0.002636158953784203,0.001956690923805211,0,202.31601515088573,0
1869,77.19360938,34.6870936,0,42008,27553.0,90692,Building Existing,162.4096842,889.126364,2006,38594,1,1,2021.0,8730,19.0,Building Site,1988.0,NONE,1,924,Singlewide M/H,MODULAR METAL,B3,B3,Singlewide M/H,125.64399176843993,0.18161459417986053,0.019647303500453735,0.0026271365419553495,0.0019502949530804427,1,202.28682674718831,0
1870,77.21301772,34.68739769,0,42009,27554.0,90693,Building Existing,179.7445684,1703.506448,2006,45527,1,1,2021.0,85590,1.0,Residential,1992.0,NONE,1,1152,Single Family,"Frame Siding, Plywood", A14,A14,Single Family,125.0903284666749,0.6680479377031421,0.19488275577900788,0.03144320397935834,0.015341545868033879,1,201.3954288313466,0
1871,77.55306093,34.6920001,0,42010,27555.0,90694,Building Existing,160.7022919,1345.082306,2006,43723,1,1,2021.0,29320,19.0,Building Site,1943.0,NONE,1,1042,Single Family,Aluminum/Vinyl,A2,A2,Single Family,115.02559495615854,0.47413133437000266,0.08153379921649251,0.003000683146547035,9.635294510505784e-05,1,185.19120787941526,0
1872,77.23882398,34.68780304,0,42011,27556.0,90696,Building Existing,156.5021741,1437.256771,2006,45217,1,1,2021.0,112880,19.0,Building Site,2002.0,NONE,2,1536,Single Family,Aluminum/Vinyl, A26,A26,Single Family,124.30551646447269,0.9115858202488059,0.665221272670495,0.36329078747615984,0.2802276343726531,3,200.13188150780104,1
1873,77.20667383,34.68732484,0,42012,27557.0,90697,Building Existing,167.06973,1500.665759,2006,1690,1,1,2021.0,77940,1.0,Residential,1970.0,NONE,1,1300,Single Family,Aluminum/Vinyl, A82,A82,Single Family,125.27324876124749,0.7140018508359357,0.18028073551106732,0.012873335666732086,5.780622607775147e-05,2,201.68993050560846,0
1874,77.19222519,34.68710051,0,42013,27558.0,90699,Building Existing,176.2591957,1713.387749,2006,38546,1,2,2021.0,44690,19.0,Building Site,1995.0,NONE,1,1568,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.68054726257104,0.18216340755453747,0.01976320833538114,0.0026453563083699482,0.0019632101020014164,0,202.3456810927394,0
1875,77.21679241,34.68747106,0,42014,27559.0,90700,Building Existing,177.6924061,1668.267945,2006,54495,1,1,2021.0,76790,1.0,Residential,1996.0,NONE,1,1074,Single Family,"Frame Siding, Plywood", A110,A110,Single Family,124.97810831182176,0.5200836566652918,0.06871397412966875,0.004241964048145777,0.00043220288945136013,0,201.21475438203305,0
1876,77.13666931,34.68625367,0,42015,27560.0,90702,Building Existing,182.652085,1821.787459,2006,9809,1,1,2021.0,31440,2.0,Residential,1967.0,NONE,1,1320,Singlewide M/H,MODULAR METAL,B3,B3,Singlewide M/H,127.07385406767813,0.20372184363422752,0.024603805001806305,0.003425816167918796,0.002513779086749694,0,204.5889050489618,0
1877,77.2051688,34.68732037,0,42017,27561.0,90704,Building Existing,157.7804586,1401.268607,2006,20668,1,1,2021.0,54250,1.0,Residential,1970.0,NONE,1,1300,Single Family,Aluminum/Vinyl, A6,A6,Single Family,125.31538582899088,0.6086960966877188,0.14040490992985372,0.008788408640789953,0.00030119455229927816,1,201.75777118467533,0
1878,77.21745178,34.68751309,0,42019,27562.0,90708,Building Existing,178.4990426,1628.528395,2006,54752,1,1,2021.0,77650,1.0,Residential,1996.0,NONE,1,1125,Single Family,"Frame Siding, Plywood", A94,A94,Single Family,124.95665289813904,0.6002021308677437,0.1380896239784734,0.017181022340866665,0.0075865018524216956,1,201.18021116600386,0
1879,77.49334076,34.69130655,0,42020,27563.0,90709,Building Existing,146.170832,1335.36728,2006,"15660.0, 32550.0",2,2,2021.0,291420,19.0,Building Site,1970.0,NONE,1,3821,Single Family,Hard Board (Hardy board or pla, A82,A82,Single Family,116.6272292305953,0.5059846407264289,0.06548976253882413,0.0019874675020490253,2.434046301725596e-06,1,187.76983906125844,0
1880,77.12371537,34.68610159,0,42021,27564.0,90710,Building Existing,166.4486692,1516.592998,2006,23699,1,1,2021.0,98720,1.0,Residential,1948.0,NONE,1,1344,Single Family,Hard Board (Hardy board or pla, A62,A62,Single Family,127.44338346598997,0.715426475339966,0.22979595253519264,0.047360020207841455,0.037586118262371265,1,205.18384738024386,0
1881,77.12422773,34.6860999,0,42023,27565.0,90712,Building Existing,197.4375847,2220.20466,2006,4228,1,1,2021.0,121710,1.0,Residential,2000.0,NONE,1,1488,Single Family,Hard Board (Hardy board or pla, A58,A58,Single Family,127.42686506254803,0.8000591052767496,0.3249515907671101,0.12442987894505497,0.12036628600482885,2,205.15725275070236,0
1882,77.13071783,34.68623929,0,42025,27566.0,90714,Building Existing,154.1898108,1363.060371,2006,21731,1,1,2021.0,0,6.0,Waterfront River/Creek,1901.0,NONE,1,896,Single Family,Board and Batten, A14,A14,Single Family,127.20740355235118,0.7134961214077216,0.23570510423161328,0.04387169958009157,0.022290415429362054,1,204.8039197192854,0
1883,77.13580119,34.68630145,0,42026,27567.0,90715,Building Existing,180.4549787,1974.409512,2006,34983,1,1,2021.0,55800,19.0,Building Site,1940.0,NONE,1,1564,Single Family,Aluminum/Vinyl, A102,A102,Single Family,127.0898008191778,0.5584571440021948,0.07531493412766693,0.002724009265922993,7.087931789319603e-05,1,204.61457931887625,0
